,Date,Order_Demand_Whse_A,Order_Demand_Whse_C,Order_Demand_Whse_J,Order_Demand_Whse_S
30,2012-08-05,981482.5,3992815.0,14958954.0,3077632.0
31,2012-08-12,656846.0,2173838.0,11183847.0,4454150.0
32,2012-08-19,493566.0,2522247.0,3269209.0,2989545.0
33,2012-08-26,674291.0,3297265.0,12873664.0,4016346.0
34,2012-09-02,614542.0,2370453.0,11316952.0,3253650.0
35,2012-09-09,577428.0,1047257.5,13878067.0,3345904.0
36,2012-09-16,401681.0,1894824.0,12399743.5,4350621.0
37,2012-09-23,628685.0,1192228.5,8974633.0,2068227.0
38,2012-09-30,484308.0,1723048.2857142857,9892798.0,1878944.0
39,2012-10-07,717734.5,609880.7142857143,17426493.0,4181718.0
40,2012-10-14,589703.0,2260154.0,12977310.5,5398823.0
41,2012-10-21,542632.0,2256422.5,14266981.5,3787099.0
42,2012-10-28,585721.0,2111916.0,11864203.0,4339710.5
43,2012-11-04,741258.0,817794.0,14218807.0,5039538.5
44,2012-11-11,484842.0,1588523.5,13073850.0,5092759.0
45,2012-11-18,783796.0,2088971.0,11573103.0,2084500.0
46,2012-11-25,525165.0,1903336.0,11045691.0,3759213.0
47,2012-12-02,478925.0,2380595.0,14947618.0,3474062.0
48,2012-12-09,956663.0,1504730.5,14514039.0,3912984.0
49,2012-12-16,513156.5,2561717.0,17239279.0,4148637.0
50,2012-12-23,622119.0,1869304.0000000002,18228372.25,2079413.0
51,2012-12-30,93095.0,2107973.0,11203460.25,3246381.0
52,2013-01-06,238860.0,2829485.5,12203073.000000002,7065766.5
53,2013-01-13,678654.0,2985133.0,17166787.0,5064795.0
54,2013-01-20,614062.5,2503230.0,14674471.5,4301471.0
55,2013-01-27,738678.0,2125015.0,15844895.0,3796143.0
56,2013-02-03,899681.0,1741871.0,19278054.5,3366992.0
57,2013-02-10,829006.0,2945186.5,14742177.0,6324371.5
58,2013-02-17,403722.5,466583.0,14859857.0,2458856.5
59,2013-02-24,681860.0,2126025.5,18415562.0,2864228.5
60,2013-03-03,591052.0,2376377.0,21464290.0,2270930.0
61,2013-03-10,649308.0,3126196.0,19745507.0,4939897.5
62,2013-03-17,480293.0,4026763.0,11032192.0,6725604.0
63,2013-03-24,603977.0,1680635.5,14053752.0,3042340.0
64,2013-03-31,328275.0,3072742.0,15479555.5,1807391.0
65,2013-04-07,582999.5,3330056.5,16586255.0,4847437.0
66,2013-04-14,502176.0,2455988.0,12974512.5,3523842.0
67,2013-04-21,416501.0,3064787.0,11048297.0,4346852.0
68,2013-04-28,466653.5,2299332.0,13739591.666666666,8549771.5
69,2013-05-05,877976.5,1010204.0000000001,12819275.833333334,4156204.5
70,2013-05-12,741193.5,2986492.0,17922825.0,3567331.0
71,2013-05-19,704534.5,2871242.0,13995960.5,4716402.0
72,2013-05-26,492340.0,1131243.0,15016494.5,2640784.0
73,2013-06-02,516358.0,3810128.5,12381911.0,3845487.0
74,2013-06-09,603757.0,2694610.0,17141200.5,3334931.0
75,2013-06-16,576145.0,1473224.0,15791321.0,9063133.5
76,2013-06-23,665559.0,1341725.5,11919752.0,2638405.0
77,2013-06-30,460065.0,2312506.0,16013863.0,4445968.5
78,2013-07-07,594515.0,1961331.0,13456408.0,3330209.0
79,2013-07-14,572019.0,2448154.0,13428682.0,3415994.5
80,2013-07-21,549192.0,3842233.0,15345961.0,5565737.5
81,2013-07-28,597732.0,2654952.5,15695069.0,3549594.0
82,2013-08-04,490616.0,3139046.5,19242469.5,3374755.0
83,2013-08-11,715162.0,3289944.0,14573307.0,2582871.0
84,2013-08-18,664220.0,3235940.0,5561759.5,4399677.0
85,2013-08-25,518298.0,3258310.0000000005,18392065.0,5082008.5
86,2013-09-01,370643.0,2375433.0,21228219.0,4375718.5
87,2013-09-08,550050.0,4543647.0,15587783.0,4652921.0
88,2013-09-15,594365.0,1608928.0,14068229.333333334,4435027.0
89,2013-09-22,518537.0,2665772.0,18089374.916666668,2686421.0
90,2013-09-29,545879.0,2234980.0,17095808.75,4410917.0
91,2013-10-06,698097.0,1875109.4285714286,24154708.0,3475737.0
92,2013-10-13,615181.5,7109003.571428571,21838620.0,3729952.0
93,2013-10-20,413689.0,3128879.0,11586932.5,3747775.0
94,2013-10-27,430695.0,3504051.0,15040172.5,5259872.5
95,2013-11-03,708229.0,4465937.0,20941668.0,3489292.0
96,2013-11-10,406762.0,3342809.0,14910898.5,3966565.0
97,2013-11-17,675593.0,2016993.0,16784762.0,3179390.0
98,2013-11-24,546737.0,6440744.5,14468980.5,3567046.0
99,2013-12-01,618249.5,1941138.0,12709879.0,7288286.0
100,2013-12-08,594994.0,2255714.0,18276788.0,4283844.5
101,2013-12-15,529175.0,2655498.0,15022123.0,3636591.5
102,2013-12-22,668045.0,2336428.0,17595830.5,3894376.0
103,2013-12-29,128852.0,1950099.0,10682154.666666666,6173482.0
104,2014-01-05,187150.0,3752246.0,630058.3333333334,2745124.0
105,2014-01-12,639184.0,3821055.0,20663148.0,4893860.0
106,2014-01-19,661041.0,1952222.0,15969008.0,4815229.0
107,2014-01-26,680123.0,1337631.0,16233610.5,8620607.0
108,2014-02-02,579961.5,2302425.0,12828965.0,3358279.0
109,2014-02-09,656355.0,1601707.0,15175990.0,2450258.0
110,2014-02-16,644476.0,4626138.0,18423885.0,4563672.0
111,2014-02-23,744633.0,877323.5,23250517.0,4402074.0
112,2014-03-02,724563.0,2659218.0,14073658.0,5026858.5
113,2014-03-09,668087.0,2748311.0,16859137.5,4439848.0
114,2014-03-16,643227.5,2888502.0,14246892.0,5613095.5
115,2014-03-23,572606.0,1036942.5,18087389.0,11690369.5
116,2014-03-30,778147.0,3004936.5,16696014.0,3982164.0
117,2014-04-06,719786.0,2309171.5,23574839.0,3388714.0
118,2014-04-13,658358.5,3923970.0,13145160.0,5414097.5
119,2014-04-20,671472.0,3422418.0,13660180.0,3551353.0
120,2014-04-27,265468.0,5404943.0,16942569.0,3834259.0
121,2014-05-04,482184.0,4038633.0,17718524.0,3999605.5
122,2014-05-11,790518.0,2706554.0,10345060.0,3771633.5
123,2014-05-18,656883.0,3625351.0,14592205.5,4831629.5
124,2014-05-25,557649.0,3521227.5,15625941.0,2730758.0
125,2014-06-01,466864.0,1750859.5,11755126.0,4413352.5
126,2014-06-08,509542.0,4853674.0,19499628.0,3609300.0
127,2014-06-15,466666.5,8044556.0,15626559.0,4887268.5
128,2014-06-22,576495.0,1973849.0,13101312.0,8952453.0
129,2014-06-29,373501.0,1960531.0,16270576.0,3746203.0
130,2014-07-06,487738.0,1567594.0,14348166.0,5316018.0
131,2014-07-13,708176.0,3137255.5,12034147.0,4292632.0
132,2014-07-20,608569.0,5052383.0,12975544.5,5402742.0
133,2014-07-27,588092.0,3304344.0,11606959.0,3771327.0
134,2014-08-03,665572.0,4216631.0,17222151.0,3091262.5
135,2014-08-10,658806.0,2406851.0,13839776.5,3306145.0
136,2014-08-17,534911.0,1397439.0,4457035.5,4697151.5
137,2014-08-24,528993.0,2921404.0,15750334.0,3625701.5
138,2014-08-31,365340.0,2629064.5,16920227.0,3247188.0
139,2014-09-07,653631.0,2476008.0,20358063.0,3149379.0
140,2014-09-14,704218.0,2308006.5,13875955.5,7435537.5
141,2014-09-21,610065.0,3257679.0,17888078.5,2956740.0
142,2014-09-28,525746.0,1976140.0,12041807.0,3476845.0
143,2014-10-05,554907.0,2612937.75,23199364.0,4793227.0
144,2014-10-12,770843.0,3516422.75,16742550.333333334,2613999.0
145,2014-10-19,560981.0,3239001.5,15753045.666666666,3657756.0
146,2014-10-26,491835.0,4716532.0,14911950.0,5059448.0
147,2014-11-02,400444.0,2133741.5,19299680.5,4648267.0
148,2014-11-09,581423.5,2607547.0,15284876.0,6037627.5
149,2014-11-16,1012266.0,2860866.0,14702542.0,5207154.0
150,2014-11-23,571801.0,3011264.0,15883224.0,5311358.0
151,2014-11-30,741795.5,2836192.5,17412607.0,4329386.0
152,2014-12-07,661532.0,2339213.5,18404585.0,12854566.5
153,2014-12-14,754001.5,3979806.0,20420589.0,3514094.0
154,2014-12-21,495417.0,1669917.0,20540177.5,2645560.5
155,2014-12-28,160624.5,2638744.0,16588732.666666668,3663753.0
156,2015-01-04,59726.0,1913943.0,25639632.333333336,3264027.0
157,2015-01-11,849714.5,3808846.5,19234138.0,6984179.0
158,2015-01-18,479787.5,2388547.0,16705181.0,6303490.5
159,2015-01-25,687576.5,2876709.5,19261323.0,5079498.0
160,2015-02-01,506477.0,7281710.0,22448077.0,6015778.0
161,2015-02-08,712906.0,3970680.0,17367415.5,6103871.0
162,2015-02-15,691776.5,2706868.0,18399481.0,8147845.5
163,2015-02-22,542007.0,705735.5,19129057.5,5077381.0
164,2015-03-01,598100.0,2559813.5,19541628.0,4325992.0
165,2015-03-08,664503.0,3650924.0,16085377.0,4619693.0
166,2015-03-15,356554.0,2041022.0,14871510.5,12089975.5
167,2015-03-22,703970.0,3073803.0,19037169.0,5938452.0
168,2015-03-29,570316.0,5525410.0,15023215.0,9820072.0
169,2015-04-05,484651.0,3234038.0,20573017.5,4409223.0
170,2015-04-12,633931.0,1077295.5,14323810.0,4886247.5
171,2015-04-19,754546.0,2205581.0,13054219.0,4115865.0
172,2015-04-26,514206.0,2653469.5,17963567.5,4701800.0
173,2015-05-03,512215.0,6570361.000000001,14572223.2,3668231.0
174,2015-05-10,826516.5,2812786.0,22820590.3,4186129.0
175,2015-05-17,466970.0,1522431.0,16364466.0,3803560.0
176,2015-05-24,582864.0,2422303.0,11813102.0,8659981.0
177,2015-05-31,452574.0,3147938.0,15809165.5,4080653.0
178,2015-06-07,413757.0,1614590.5,16781206.0,3589835.0
179,2015-06-14,603150.0,3489406.5,14781812.0,3757526.0
180,2015-06-21,1314949.5,4695918.333333333,13668759.0,4705961.0
181,2015-06-28,448269.0,3576537.1666666665,16143935.5,4562447.0
182,2015-07-05,641753.0,3209273.0,24454720.5,6548812.0
183,2015-07-12,567955.0,2723962.0,11827278.0,3361617.0
184,2015-07-19,461527.5,3821944.0,15441057.0,3917448.0
185,2015-07-26,460530.5,2228792.0,14078618.0,3277264.0
186,2015-08-02,746742.0,1303239.0,18570188.0,4581740.0
187,2015-08-09,770615.0,2156924.5,18746848.0,4155141.5
188,2015-08-16,750297.0,1757509.0,5413222.0,2600772.5
189,2015-08-23,543497.0,3137360.0,14217557.0,7904324.5
190,2015-08-30,713968.5,2407702.5,14201747.5,4346980.0
191,2015-09-06,822882.0,2931999.0,18437474.0,8679820.0
192,2015-09-13,835290.5,4233785.0,13455664.0,3749691.5
193,2015-09-20,534647.0,1924623.0,13351390.75,2830012.0
194,2015-09-27,357627.0,4828581.0,8797628.75,2803204.0
195,2015-10-04,589642.0,3625019.428571428,18231120.0,3664839.0
196,2015-10-11,831527.0000000001,4029310.0714285714,18308689.75,11385605.0
197,2015-10-18,715727.0,3707049.5,16457700.25,4346122.0
198,2015-10-25,555702.0,2252080.0,12187691.0,4194926.0
199,2015-11-01,745601.5,2262004.0,14145325.0,2849114.0
200,2015-11-08,539295.0,2774871.0,12938777.0,2705557.0
201,2015-11-15,752115.0,3450640.0,17145013.0,4148434.5
202,2015-11-22,651815.0,1999542.0,15072699.5,4203852.0
203,2015-11-29,466840.0,1709896.0,13968791.5,3540062.0
204,2015-12-06,857732.0,3166061.5,18207843.5,4990305.0
205,2015-12-13,838869.0,5177111.5,14351940.0,5362619.0
206,2015-12-20,504011.0,2150887.0,14551506.5,3215301.0
207,2015-12-27,1876898.0,2886277.5,12890150.5,4245361.0
208,2016-01-03,72817.5,3079250.0,16365615.0,3025752.0
209,2016-01-10,436344.0,4161154.0,17543638.5,2375932.0
210,2016-01-17,741844.5,5730784.5,15347244.0,3292358.0
211,2016-01-24,732739.5,3076407.0,14084917.5,6282802.0
212,2016-01-31,662827.5,1095019.5,15292864.0,2471844.0
213,2016-02-07,454549.0,3215060.0,15775056.0,3844325.0
214,2016-02-14,852549.5,1199446.5,20968198.0,1267471.0
215,2016-02-21,773176.0,1255713.5,12275238.0,5261921.0
216,2016-02-28,489512.0,2075834.0,12014004.0,1823657.0
217,2016-03-06,895815.0,2912506.5,21142399.0,2810031.5
218,2016-03-13,762971.0,4574352.0,12274750.0,2850992.5
219,2016-03-20,776140.0,3895125.0,15347188.666666666,6308238.0
220,2016-03-27,606767.5,3389577.5,14909282.333333334,2937638.5
221,2016-04-03,677373.0,2113388.0,14512340.0,3704918.5
222,2016-04-10,592381.0,3538810.0,17401179.0,2654139.0
223,2016-04-17,786936.5,1945509.0,15192978.0,4639297.0
224,2016-04-24,682272.0,2088873.0,13435720.0,3555259.0
225,2016-05-01,594506.0,2720262.5,18624103.5,3990621.0
226,2016-05-08,1015601.0,1622617.0,7342282.0,4202276.0
227,2016-05-15,663446.0,2209543.0,19519673.0,4786200.0
228,2016-05-22,427894.0,3893350.5,11751033.0,5218280.0
229,2016-05-29,846420.0,3056148.0,13574718.0,3664187.0
230,2016-06-05,499977.0,3752959.0,15937592.0,2965437.5
231,2016-06-12,538182.0,591040.0,17387686.0,2590936.0
232,2016-06-19,402718.0,2090622.0,13643170.0,2870686.0
233,2016-06-26,445076.5,2258914.0,14227516.0,3381261.0
234,2016-07-03,530774.0,2352278.0,18715429.0,2506728.0
235,2016-07-10,1028770.0,4121419.0,17884507.0,2606529.0
236,2016-07-17,566285.0,3103729.5,15300751.5,1561794.5
237,2016-07-24,696803.0,2901263.5,11904677.0,3723993.0
238,2016-07-31,487366.0,3121670.0,16115486.0,15350135.0
239,2016-08-07,714365.0,4278066.5,19409901.0,2075941.0
240,2016-08-14,515355.0,4858966.0,6893872.5,3468852.5
241,2016-08-21,1271056.5,1973000.5,13983748.5,2045011.0
242,2016-08-28,711094.0,2863813.0,14218609.0,3564845.0
243,2016-09-04,715373.5,3220990.0,18877944.0,2671816.0
244,2016-09-11,472021.0,3022001.0,18064588.0,2068680.0
245,2016-09-18,1325228.0,2386604.0,12495945.333333334,1765679.0
246,2016-09-25,402540.0,2429148.0,11933022.666666668,673916.0
247,2016-10-02,499246.0,2783894.5,16744833.0,4360385.5
248,2016-10-09,410854.5,1413001.0,17077731.0,1921977.0
249,2016-10-16,808593.5,5647529.0,18023688.0,2098731.5
250,2016-10-23,322601.0,2777550.0,13170131.0,4860629.0
251,2016-10-30,438891.0,2683176.0,14906324.0,5410541.0
252,2016-11-06,386703.5,1162480.0,14236208.0,2588077.0
253,2016-11-13,753327.0,2302534.5,17315056.0,1940089.0
254,2016-11-20,852267.0,2119292.0,16516273.0,2798896.0
255,2016-11-27,698489.0,4485449.0,12634868.0,2376319.0
256,2016-12-04,564191.0,3014825.0,18079485.0,4854843.0
257,2016-12-11,494550.0,4232808.0,18590390.0,1535871.0
258,2016-12-18,609095.5,3661184.5,14657297.0,2007621.5
259,2016-12-25,558735.5,2869215.5,13141487.0,1185975.0
260,2017-01-01,461435.0,245695.0,6635199.0,2421717.0
