,combined_text
49,hardware accessories mounts patches plates sea arc ems mdcs quote item pansolcopni arc ems mdcs
50,box force main high density polyethylene clean out rc qty del pf bo del date material needed at awbsc
51,angles mild steel steel angle iron x x x x x x x x x steel flat angle iron pipe rect tubing expanded metal
52,pipe joint restraint for di pipe mj glands inch rc ln qty del pf bo del date di pipe joint restraints for glen bell warehouse
53,concrete ready mix concrete
54,tools computer drivestation sata encryption drivestation sata encryption
55,testing and recording instruments year renewal of unlimited use bpad for entry level police report writing per limited use agreement signed term to for police traiing and recruiting year renewal of bpad entry level police report writing
56,cable power type xlpe awgalumfull acsr neutralxlp deg c max operating temp wire shall be furnished on nonreturnalbe wood reels max flange measurement and max outside to outside width measurement shall be purchasing footage shall be ft on qualified products list replaces per g noble new dcs critical materials supply arrangement
57,telephone systems stations electronic key myers
58,lights emergency soundoff signal intersector mirror light blue lone star products see attached
59,threaded rod and studs bolt double arming hot dip galvanized full length threaded furnished with four square nuts assembled on qualified products list critical materials supply arrangement
60,clothing shirt work ray jerry work shirts for warehouse employees
61,foam polyurethane chemical backfill backfill polyurethane foam water base gallon kit per city of austin purchasing specification dated march qpl questions contact peter g soosay pe austin energy kramer lane bldg e suite austin tx fax generated by reorder am
62,conduit steel traffic signal splice compression strd underground on qualified products list critical materials supply arrangement
63,ethanol sun coast contract
64,computer accessories and supplies apd microsoft surface pro gb item rep
65,clothing trousers supv and uniform blauer polo shirts sm xl
66,x protectiv plus safety catheter medex protectiv plus safety i v catheters size x green smiths medical item number medical supplies
67,head ear eye and face protection prescription fit protective eyewear protective eyewear for bob buckley
68,beverages welectrolyte glacier freeze gatorade rc ln qty del pf bo del date materials needed at glen bell warehouse
69,hat safety fullbrim vented rc ln qty del pf bo del date material needed at glen bell warehouse
70,readymix concrete lauren concreteready mix concreteutility cuts and concrete
71,connectors cable copper htap straight receptacle adapter kit with retaining ring cable adapter lug bolt and washersin qpl critical materials supply arrangement
72,ondansetron zofran odt tablet zofran
73,monitors color and monochrome environmentally certified quote ems dell monitor ems dell monitor
74,connectors split bolt type connector split bolt for solid copper connector split bolt standard length required to connect two conductors of rated sizes nut to be hexagon shaped the nut shall be free running but not loose connector shall meet or exceed nema std edition on qualified products list remove from decker per eramosmpollock dkokas critical materials supply arrangement
75,repellant insect rc ln qty del pf bo del date grainger material for webberville warehouse
76,screws machine steel slotted pan head stainless steel hardware stock
77,winches and parts automotive trailer breakaway kit for
78,transformers power distribution incl fluid fill transformer network volts in accordance with specification reactivated as non stock for use in cus dbs w cesar chavez central library
79,cutter tubing midget rc ln qty del pf bo del date material needed at glen bell warehouse
80,camera attachments adapter rings collimators fi w threaded connection awt see attached
81,links renewal for ren and res fuses fuse refill unit for switchgear amp holder fuse refill unit amp slow speed for pad mounted switchgear withsc type fuse holder on qpl replaces pn per ae fusing policy maintain as insurance per ae fusing policy maintain as insurance per ae fusing policy critical materials supply arrangement cmsa
82,computer accessories and supplies sound bar for fp monitor rebecca alvidrez parls rec
83,beams i structural steel by weight delivery call joe kuykendall at hr in advance for delivery arrangements pilot knob fm del valle texas steel beams for pilot knob relocation project
84,asphaltic concrete hot mix in accordance with it apachot mix
85,twoway radio supplies parts and accessories delay timer terminal block fused tessco see attached
86,steel reinforcing mesh ace contractorsconcretelumber redwood wire curb boots
87,hydrant fire in way ft bury mj rc ln ln qty del pf bo del date material needed at awgbsc
88,janitorial supplies general line jan purchase of janitorial supplies
89,water drinking including distilled oz plastic or paper cups each drinking water
90,athletic awards for service type see class drc jim kotick trophies for drc participants in soccer league in spring bat city awards trophies drc
91,aggregate trap rock grade per ton vulcan construction materialstrap rockinventory
92,beverage electrolyte replacement mix sugarfree orange rc ln qty del pf bodel date delivery date shall be no later than grainger material for awwbsc
93,box water meter high density polyethylene for dual meter rc ln qty del pf bo del date material needed at awgbsc
94,tires tubes liners valves only vendor that has the tread design need this tire to match the other tire on unit tire needed for unit
95,gasket sealants compounds etc moyno pump parts ullrich
96,arresters lightning arrester surge kv kv mcov metaloxide type top terminal supplied with nut and wire clamp mounting hardware shall be insulated base bracket with isolator lower terminal shall be insolator nut washer and threaded terminal nut arrester shall meet ansi standard latest revision for metaloxide surge arresters per standards commitee begin stocking this arrester this stock item replaces which shall be removed from stock as soon as we have suffcient stock of the replacement arrester on qualified products list replaces item per dennis patrick dkokas critical materials supply arrangement
97,rasp half round inch rc ln qty del pf bo del date material needed at gbsc
98,fire alarm systems power sirens and controls replacement of fire supression system parts replacement of fire supression system parts
99,pole line hardware anchors arms bolts braces elmo
100,inserts pipe stiffners for plastic polyethylene rc ln qty del pf bo del date material needed at awgbsc
101,traffic cones lane markers and barricades porta x clear acyrlic panel satin aluminum frame for post and panel system parts for acc sidewalk renovation project
102,wire and cable electronic audio coaxial hooku slaughtercompulink jumper
103,emulsions asphalt ergon
104,expendable items safety inspection stickers
105,work clothes chris lester andy baird uniform chris lester andy baird
106,installation supplies adhesive edge strip seam t cable tie mounting pad nylon base tessco see attached
107,dead end hardware electrical deandend formed wire in guy galvanized steel strand color code green extra high holding strength lbs on qualified products list critical materials supply arrangement
108,lock file cabinet lat file wpull freestd dwr filing cabinets for pard main office
109,freight and cargo containers shipping see class barbara jordan monthly rental mobile mini monthly rental barbara jordan
110,asphaltic concrete hot mix in accordance with it apac texashot mixvarious sections
111,coupling stl repair dbl band fc clamps in rc ln qty del pf bo del date material needed at glen bell warehouse
112,transformers power darralyn buyer rm monitoring circuit board for load trap changer ltc part replacement cards
113,can garbage galv gal rc ln qty del pf bo del date materials needed at awgbsc
114,twoway radio supplies parts and accessories rush freight tessco see attached
115,ondansetron zofran usp strength ondansetron injection usp single dose vial westward pharmaceuticals ndc medical supplies emergency patient care for stock
116,coupling brass female ct x compression gj rc ln qty del pf bo del date materials needed at glen bell warehouse
117,labels mailing self adhesive tq labels for dac tq labels for dac
118,tickets spitter manila colored magstripe spitter tickets service tickets
119,twoway radio supplies parts and accessories power tessco see attached
120,work clothes jasper brown uniform jasper brown
121,shoes safety toe red wing santiago delarosa employee red wing shoes
122,safety vest style yellow xlarge class rc ln qty del pf bo del date material needed at wbsc
123,janitorial supplies general line apr order of janitorial supplies rlc email quote bsd contact talbert berry or jill cogburn apr order of janitorial supplies rlc
124,wire bare aluminum wire mcm strand all aluminum hard drawn bare class aa in accordance with astm spec for concentric lay stranded aluminum conductors code name arbutus on qualified products list wire shall be furnished on returnable lg steel reels max flange measure ment and max outside to outside width measurement purchasing footage shall be ft arbor size min with a minimum of holes on either side of arbor hole critical materials supply arrangement
125,barricades traffic portable x square galv post cut to for uprights ship to attn cpl q sebek barricade materials
126,trailers custom personnel food service equipme enclosed trailer spare mount and spare tire per quote dated ems buyboard contract magnum trailers
127,clothing athletic casual dress uniform wthr work austin screen printing shirts camacho don goerner austin screen printing shirts camacho don goerner
128,blocks fuse metal fuse midget ac amp fast acting ul listed standard csa certified to standard no fuse shall be inches long and inches in diameter generated by reorder pm
129,parts and accessories service generator allegiance generator pm level i davis lane allegiance generator level i preventative maintenance
130,flashlight led pocket penlite size aaa rc lnqty delpfbodel date material needed at wbsc
131,wreckers tow vehicles sr hyundai elantra gr lic wisconsin nte gr chevy venture lic wisconsin tow two vehicles
132,parts and accessories flowmeter system lab supplies lab supplies
133,switchgears and parts metal clad switchgear padmounted deadfront two amp max fuse compartments and two amp switch compartments with base spacer as per specification fig on qpl generated by reorder am
134,pipe polyethylene hdpe inch rc ln qty del pf bo del date material needed at awbsc
135,bucket mop wwringer wheel qt rc ln qty del pf bo del date material needed at wbsc
136,hammer claw wwood handle oz rc ln qty del pf bo del date material needed at wbsc
137,hardware accessories mounts patches plates sea amer pwr apc masterswitch rackmt snmp mgmt dir strips to connect to battery
138,ipratropium bromide ipratropium bromide unit dose for inhalation solution nephron ndc medical supplies
139,welding equipment and supplies alamo weldingoverlayelctrodes buffer disk cutting wheels
140,chemicals bulk not otherwise itemized liquid sulfur dioxide in cylinders for sar liquid sulfur dioxide in ton cylinders for sar for dec
141,chemicals laboratory acs cp practical reagent laboratory chemicals for wql laboratory chemicals for wql
142,hammer ball peen whandle size no oz rc ln qty del pf bo del date material needed at glen bell warehouse scanned
143,washer high pressure cold water heavy duty wetsouth disthuskey detergent
144,janitorial supplies general line front casters for rubbermaid carts front casters for rubbermaid carts
145,hand sanititzer size liter pump bottle rc lnqty delpfbodel date material needed at awgbsc
146,sand and gravel this is a contract for river rock to be delivered to locations within the austin water utility and picked up at the contractors location rock
147,hydraulic system components and parts hydraulic house stock hyd pump
148,transformers power distribution incl fluid fill transformer padmounted phase feed thru with switch dead front in accordance with specification on qualified products list replaces due efy
149,transformers power distribution incl fluid fill transformer distribution single phase pad mount kva volt with bayonet fusing per spec dated replaces critical materials supply arrangement
150,parts john deere tractor farm garden jd o parts for unit parts for unit
151,odor control chemicals etc inch foam filter hb new tank first fill
152,twoway radio supplies parts and accessories wave antenna tessco see attached
153,phonograph records sound tapes etc prepared baker taylor inc cds gf
154,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec dated replaces critical materials supply arrangement
155,gloves ace contractorssouthself leveler group bags
156,coupling brass ybranch x x compression gj rc ln qty del pf bo del date hd supply materials order for glen bell warehouse
157,epi auto injector child dose epipen jr epinephrine injection autoinjector child dose epipen autoinjectors with autoinjector trainer dey laboratories ndc epi pens
158,shirt uniform ls apd navy sz x bell curve cadet class
159,chlorine liquefied liquid chlorine in cylinders
160,measuring wheel wpaint applicator ft spoked rc ln qty del pf bo del date material needed at wbsc
161,network components adapter cards bridges connec insight halo part no quote insight halo project purchases
162,washers steel washers square hot dip galv x x with holeon qualified products list critical materials supply arrangement
163,conduit steel flexible greenfield type sleeve semitension compression type for triplex service cable acsr bare neutral messenger triplex service drop cable minimum length od prefilled with inhibitor ends covered with color coded caps on qualified products list critical materials supply arrangement
164,work clothes patrick murphy uniform patrick murphy
165,sheds storage rentalpurchase of storage containers mobile mini monthly rental athletics contract monthly rent mth pard contact person is brian piper april sept rental of storage unit for athletics softball
166,trouser uniform cotton nfpa men plain pockets fire shirts and pants
167,monitors color and monochrome environmentally certified dell monitor quote contract laptops monitors acc
168,poles creosote treated poles wood southern yellow pine creosoted ft class ii on qualified products list generated by reorder am
169,insulators and parts pole line insulator guy or fiberglass rod munsel gray in color lb ultimate strength clevisthimbleeyehotdipped galvanized end fittings ft on qualified products list critical materials supply arrangement
170,shoes safety toe red wing shoe storesteel toe boots
171,baggage handling equipment and parts item pallet pallet support
172,flexible base wr mueller sub road base clay hammack road base
173,lubricants industrial type oil and grease
174,disinfectant mintophene coefficient gal rc ln qty del pf bodel date delivery date shall be no later than gulf coast material for awwbsc
175,gloves disposable nonsterile nitrile xlarge gloves nitrile lined mil thick cotton flocked lining mapa standard or buyer approved equal quantity per pkg available sizes mfg model no nitrile exam cloves
176,janitorial supplies general line refer to attachement for details janitorial supplies
177,biodiesel fuel sun coast contract
178,connectors bus connector conductor to rated for volts insulated direct burialsubmersible single set screw per conductor includes silicon grease and inhibitor all ports include water tight rockets or screw plugs meets ansi on qpl replaces stk with conductor connector for use in both meter pedestals and pull boxes per mike gaub and standards committee critical materials supply arrangement
179,wrench combination in rc ln qty del pf bo del date material needed at wbsc
180,trousers apd men size apd trouser no stripe
181,parts and accessories hersey water meter a thru hersey mvr meter parts for webberville warehouse
182,rings manhole cast iron ring for manhole inches traffic type ductile iron in accordance with astm and electric department drawing must meet aashto latest revision on qpl generated by reorder am
183,exercise equipment and parts and accessories pma on stairmaster stepmills included trip charge preventive maintenance on two stepmills
184,training aids materials and equipment for the in gomezprocard online training
185,cover sewer cleanout pvc rc ln qty del pf bo del date sewer fitting for webberville warehouse
186,valve gate di flange mech jt in rc ln qty del pf bo del date gate valves for webberville warehouse
187,child restraint device qacr medical supplies
188,cable power copper kvcompact copper conductorepr insulatedlldpe jacketjacketed concentric neutral as per specification latest revision on qualified products list shall be furnished on returnable steel reels max flange measurement and max outside to outside width measurement purchaing footage shall be ft circuit footage shall be ft make insurance per b dahl for downtown critical power grid insurance stock critical materials supply arrangement
189,arresters lightning arrester surge kv kv mcov metaloxide type top terminal supplied with nut and wire clamp mounting hardware shall be insulated base bracket with isolator lower terminal shall be insolator nut washer and threaded terminal nut arrester shall meet ansi standard latest revision for metaloxide surge arresters per standards commitee begin stocking this arrester this stock item replaces which shall be removed from stock as soon as we have suffcient stock of the replacement arrester on qualified products list critical materials supply arrangement
190,flags flag poles banners and accessories britten banners reception pole banners
191,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
192,sling nylon web ft rc ln qty del pf bo del date material needed at awbsc
193,cable control cable type ufb degree c underground feeder awg solid copper conductor one blackone white with bare ground mils minimum insulation thickness in in approx outside diameter ampacity at degree c degree f ambient temp shall be amps shall be furnished on nonreturnable wood reels max flange measurement and max outside to outside width measurement inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub purchasing footage shall be ft per specification critical materials supply arrangement cmsa
194,water drinking including distilled gl bottled drinking water bottles drinking water
195,books library ingram books srp
196,steering components and parts parts for
197,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec latest revision replaces critical materials supply arrangement cmsa
198,wiring devices adapters caps connectors extens bushing rubber network for cable end mcm for use with replaceable link limiter generated by reorder pm
199,bolt whex nut flange gasket inch rc ln qty del pf bodel date delivery date shall be no later than cm material for awwbsc
200,lumber hardwood all kinds aceconcretelumber and redwood
201,lugs compression type and soldering type lug compression for mcm copper cable two holes in tongue spaced apart maximum width of tongue shall be able to mount side by side on a hole nema pad on qpl generated by reorder pm
202,rainsuit hooded woveralls yellow rc lnqty delpfbodel date material needed at awwbsc
203,universal cuff adaptor id hudson rci universal cuff adaptor id latex free mfgr hudson rci part or buyer approved equavilent medical supplies
204,gas detectionmonitoring equipment firemen air gas lease renewal to
205,wire type thhn electrical parts for att modification
206,fingerprinting equipment accessories and supplie carboy water fill bottle l gal supplier no vwr catalog number fingerprint development chamber accessories
207,lights emergency whelen gt distributors see attached
208,boats feet and under ems sole source boats triad ems fire
209,washers steel washers square curved galvanized x x for bolts on qualified products list critical materials supply arrangement
210,diffusers night watchman cobrahead package unit volt normal power factor reactor ballast flat tempered glass cutoff effective projected area max supplied with ft of solid bw thhn pre wired to the terminal block a inch aluminum mast arm complete package to include fixture bracket lamp and photo cell on qpl replaces part number as part of dcs cutover process generated by reorder am
211,shoes safety toe safety footwear
212,coverall ls navy cotton xlreg coverall ls navy cotton xlreg coveralls and shorts
213,tourniquet cat combat tactical black blk tourniquet
214,installation supplies adhesive edge strip seam t nmale hex for tessco see attached
215,gloves mechanic spandex leather palm gelpad pvc knuckle med rc ln qty del pf bo del date material needed at awgbsc
216,tubes centrifuge repairs of centrifuge rotodiff
217,transformers power distribution incl fluid fill transformer padmounted phase feed thru switch dead front kva in accordance with specification on qualified products list forecasted jobs
218,ethanol sun coast october
219,helmets blasting parts accessories remington gun part gun parts
220,jean blue mens size x blue jeans firm order
221,lights emergency soundoff ghost single recess mount light black housing split color bluewhite lone star products see attached
222,pipe protector poly tube inches for inches pipe rc ln qty del pf bo del date material needed at wbsc
223,furniture office furniture purchase for org
224,unmanned aerial vehicles uav drones unmanned aerial vehicles uav drones matrice drone and equipment purchase
225,beverages welectrolyte fruit punch gatoradepowerade rc ln qty del pf bo del date material needed at wbsc
226,adapter pvc in concrete x in ci rc ln qty del pf bo del date material needed at awbsc
227,hypochlorite sodium for control of slime and alg bleach
228,monitors color and monochrome environmentally certified inch vis ultrasharp widescreenflat paneloptifpwscustomer install mcbeemonitor
229,lugs compression type and soldering type lug compression nema twohole mcm aluminum and copper rated for bolts on qualified products list cross reference note replaces bill per gary noble critical materials supply arrangement
230,transformers power distribution incl fluid fill transformer distribution single phase pad mount kva volt with bayonet fusing per spec latest revision critical materials supply arrangement cmsa
231,insulators and parts pole line insulator deadendsuspension kv polymer type distribution class with tongue and clevis end fittings shall meet requirements of ieee on qualified products return to active stock per dennis patrick dbs critical materials supply arrangement
232,stationery wenvelopes including recycled inv and ae business cards and stationery clearvisions
233,valve gate brass in wheel type rc ln qty del pf bo del date material needed at awgbsc
234,sign hiintensity reflective stopslow diam octagon rc ln qty del pf bo del date material needed at wbsc
235,books library bks ingram books aegf
236,coupling brass female ct x compression gj rc ln qty del pf bodel date delivery date shall be no later than cm material for glen bell warehouse
237,trucks cab and chassis only apd buyboard light duty package of
238,signs aluminum traffic prefabricated traffic signs
239,extinguisher fire dry chemical lb rc ln qty del pf bo del date material needed at awgbsc
240,cleaning compositions detergents solvents and s state contract asphalt cleaning compositions asphalt cleaner gal drum
241,cable type xlp clamp deadend side loading bolted with captive nut ubolts all steel parts shall be galvanized minimum ultimate body strength shall be lbs minimum ultimate sag eye strength of lbs clamps size shall accomodate acsr on qualified products list critical materials supply arrangement
242,jean blue mens size x blue jeans bo
243,cavity pumps progressive robbins myers progressive cavity pump repair parts for hornsby and wcwwtp westcoast rotor
244,application software microcomputer llc austin transportation
245,tires tubes liners valves procard tires tubes liners valves procard tires tubes liners valves
246,fittings conduit steel miscellaneous bline washers struts fittingsjollyvillemeschwitz
247,threaded rod and studs bolt double arming hot dip galvanized full length threaded furnished with four square nuts assembled on qualified products list critical materials supply arrangement
248,cavity pumps progressive lifting device progressive cavity pump
249,monitors color and monochrome cga vga svga et large adjustable mount michelle moheet hardware for shared use passenger
250,boots steel toe hip waders size rc ln qty del pf bo del date material needed at gbsc
251,sound analysis equipment and accessories noise me bruel kjaer with octave and octave frequency analysis and logging softwaretype sound level meters accessories
252,generator gas powered industrial duty service maintenance agreement for the engine generator at the hornsby bend plant monthly maint contract
253,transformers power distribution incl fluid fill transformer distribution single phase pad mount kva volt with bayonet fusing per spec dated replaces critical materials supply arrangement
254,towelettes lens cleaning x premoist antifog rc lnqty delpfbodel date material needed at awgbsc
255,irrigation systems supplies parts and accessori nozzle irrigation degree full brass irrigation parts for abia max po pr
256,janitorial supplies general line chicon supplies nov order of cleaner toilet tissue detergent
257,laboratory supplies per price agreement laboratory supplies for lsd laboratory supplies for lsd
258,work clothes uniform bill needles uniform bill needles
259,uniforms blended fabric servicewear appareluniforms
260,cabinet parts traffic controller cabinet power supplysignals
261,paint sprayon white oz jcan rc ln qty del pf bo del date material needed at wbsc
262,pole line hardware anchors arms bolts braces grip cable for conduit riser conduit cable diameter of to bronze on qualified products list electrical supplies price agreement
263,circuit breakers load centers boxes and panelbo square d breaker square d breakers at south first
264,cavity pumps progressive packing gland half each each centennial partsliberty pump parts for stock
265,twoway radio supplies parts and accessories pn tessco toolsparts
266,patch austin police tag subdued green must read austin must read airport must read swat must read bomb squad apd name tags and unit tags
267,servers file microcomputer req dell servers quote req
268,relays misc brand listed or equal socket relays max po pr
269,gloves work mechanic synthetic leather sz large rc ln qty del pf bo del date material needed at wbsc
270,insulators and parts pole line bracket for mounting disconnects on phase riser poles both mounting holes to be inch diameter on qualified products list beginf stockiing againper don higgins on qpl reactivate kramer and begin stocking again per a gonzalez generated by reorder am
271,rescue equipment supplies and accessories includi holmatro portable power units rescue power tools
272,aggregate trap rock grade per ton vulcantrap rock and for sci
273,shoes safety toe red wingsafety shoes
274,citation issuance devices and supplies zebra evm acchh us dc line cord for battery charger quote zebra evm mobile devices
275,wire weatherproof type acsr acsr al conductorcrosslinked polyethylene xlp insulationterrier on qualified products list ftreel cable to be delivered on nonreturnable wood reels max flange measurement shall be and max outside to outside width measurement shall be purchasing footage shall be ft new dcs item that does not replace existing stock item per g noble critical materials supply arrangement
276,asphaltic concrete hot mix in accordance with it apac texas hot mix various sections
277,wire and cable electronic audio coaxial hooku tnc pvc yel ul csa awm rolls anixter see attached
278,trucks cab and chassis only watershed international chassis fy heavy duty pkg
279,aggregate base flex walnut creek substation fm road tim smith flexible base
280,underground cables and wires solid and stranded cable power kv aluminum awg three conductor parallel xlpe full neutral insulation level cable shall be made as per specification with the exception of packaging each reel shall be nonreturnable wood with pressed in metal hub or greater arbor hole steel plate hubs are not accepted max flange measurement and max outside to outside width of purchasing footage shall be ft circuit footage will be ft replaces full neutral only notify standards if customer requests more than one reel or usage begins increasing special note begin stocking one reel at st elmo and kramer as insurance stock for emergency and maintenance use per dcs standards on qpl critical materials supply arrangement
281,clothing trousers supv and uniform name tags for kevin parker requsted by milissa warren
282,servers file microcomputer dir sdd as per quote all terms and conditions governed by dir sdd debora anderson buyer i hardware
283,jacket supervisor long jacket supervisor navy long worksup jackets
284,contactors contactors for warehouse stock max po
285,hand cleaner waterles pumice absorb rc ln qty del pf bo del date material needed at awgbsc
286,aggregate trap rock grade per ton vulcan construction materialstrap rockinventory
287,tubes refill brasscopper ff dw insul kit gasket kits purchase various irrigation supplies for anc for system
288,work clothes nov purchase shirts pants hats jacketjeff checky estimate dated nov purchase shirts pants hats jacketjeff checky
289,biodiesel fuel ultra low sulfur diesel biodiesel sun coast january january
290,cable power type xlpe cable power aluminum a wg conductor xlpe mil insulation full neutral per specification latest revision on qpl reel shall be nonreturnable wood with pressed in metal hub inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or critical materials supply arrangement
291,meters water flow for wastewater adfm pro box meter eval adfm pro flowmeters for crosstown govalle onion basins
292,janitorial supplies general line cups gulf coast paper see attached
293,patching mix asphalt concrete graingerall districtsperma patch bag mix
294,connectors bus connector conductor to rated for volts insulated direct burialsubmersible dual rated to accept aluminum and copper conductors single set screw per conductor includes silicon grease and inhibitor all ports include water tight rockets or screw plugs meets ansi on qpl replaces stk with conductor connector for use in both meter pedestals and pull boxes per mike gaub and standards committee critical materials supply arrangement
295,accessories for laptop computer heavy duty fixed top offset platform offset gts see attached
296,shirt t wcoa patch blue size xlrg rc ln qty del pf bo del date material needed at gbsc
297,application software microcomputer acrobat pro win dvd set universal english longmore
298,asphalt distributors levelers mixers crack seal cooper parts and service for street equipment
299,lights emergency whelen brand parts and accessories whelen brand parts and accessories
300,microcomputers handheld laptop and notebook dell universal dock computers
301,poles embedded steel pole steel weathering spec ft length change commodity group and commodity code from to dkokas maintenance ckt and ckt tran
302,chemicals laboratory acs cp practical reagent crimp cap for headspace septa top headspace vials per pack manufacture teledyne tekmar forensics supplies
303,pole line hardware anchors arms bolts braces kramer techline inc
304,coupling pvc sched expandable repair inch rc ln qty del pf bodel date delivery date shall be no later than grainger material for awwbsc
305,janitorial supplies general line davis wwtp supplies may order of mats for city hallawumuniparking
306,emulsions asphalt ergon asphalt and
307,clamp ci service x in dbl strap rc ln qty del pf bo del date materials needed at webberville
308,twoway radio portable including vehicle radio r motorola radios for davis wtp see attached
309,transducers electronic siemens pneumatic transducer psi spring transducers
310,peripherals miscellaneous joy sticks graphic di wireless presentation system barco wireless presentation system
311,safety vest syle yellow small class rc ln qty del pf bo del date material needed at wbsc
312,valve gate brass in wheel type rc ln qty del pf bo del date materials needed at glen bell warehouse
313,shoes safety toe safety shoeboot
314,automotive maintenance items and repairreplacemen each intgr latch actuator parts for chevy truck parts for chevy truck
315,coupling sewer pk two way clean out rc ln qty del pf bo del date material needed at awwbsc
316,glasses safety blackgray frame clear lens antifog rc ln qty del pf bodel date delivery date shall be no later than grainger material for glen bell warehouse
317,ethanol sun coast contract
